,PIN,Property Class,Neighborhood Code,Land Square Feet,Town Code,Apartments,Wall Material,Roof Material,Basement,Basement Finish,Central Heating,Other Heating,Central Air,Fireplaces,Attic Type,Attic Finish,Design Plan,Cathedral Ceiling,Construction Quality,Site Desirability,Garage 1 Size,Garage 1 Material,Garage 1 Attachment,Garage 1 Area,Garage 2 Size,Garage 2 Material,Garage 2 Attachment,Garage 2 Area,Porch,Other Improvements,Building Square Feet,Repair Condition,Multi Code,Number of Commercial Units,Estimate (Land),Estimate (Building),Deed No.,Sale Price,Longitude,Latitude,Census Tract,Multi Property Indicator,Modeling Group,Age,Use,O'Hare Noise,Floodplain,Road Proximity,Sale Year,Sale Quarter,Sale Half-Year,Sale Quarter of Year,Sale Month of Year,Sale Half of Year,Most Recent Sale,Age Decade,Pure Market Filter,Garage Indicator,Neigborhood Code (mapping),Town and Neighborhood,Description,Lot Size
10,19074270080000,202,380,3750.0,72,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,936.0,2.0,2.0,0.0,33750,114700,1712112011,120000,-87.7875974766526,41.7934271491624,560900.0,0,SF,74,1,0.0,0.0,0.0,2017,82,41,2,5,1,1.0,7.4,1,1.0,380,72380,"This property, sold on 05/01/2017, is a one-story houeshold located at 5423 S NATOMA AVE.It has a total of 4 rooms, 2 of which are bedrooms, and 1.0 of which are bathrooms.",3750.000000000001
11,15083050330000,203,20,5092.0,31,0.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,3,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1004.0,2.0,2.0,0.0,22910,102610,1411941067,72000,-87.8958877301163,41.8837455683038,816900.0,0,SF,58,1,0.0,0.0,0.0,2014,70,35,2,4,1,1.0,5.8,1,1.0,20,3120,"This property, sold on 04/29/2014, is a one-story houeshold located at 430 51ST AVE.It has a total of 5 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",5091.999999999999
12,4073040050000,208,21,12198.0,25,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,2.0,0.0,1.0,2.0,4.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,4072.0,1.0,2.0,0.0,115880,540530,1301135037,491750,-87.8847893783437,42.1264586785887,801606.0,0,SF,34,1,0.0,0.0,0.0,2013,65,33,1,1,1,0.0,3.4,1,1.0,21,2521,"This property, sold on 01/11/2013, is a two-story houeshold located at 1440 JULI-LYN LN.It has a total of 9 rooms, 3 of which are bedrooms, and 3.0 of which are bathrooms.",12198.0
13,17333220190000,207,30,2976.0,76,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,2000.0,2.0,2.0,0.0,104160,357290,1626622007,487000,-87.6443720138877,41.8238672848831,839900.0,0,SF,13,1,0.0,0.0,0.0,2016,79,40,3,9,2,1.0,1.3,1,1.0,30,7630,"This property, sold on 09/22/2016, is a two-story houeshold located at 3849 S EMERALD AVE.It has a total of 7 rooms, 4 of which are bedrooms, and 2.5 of which are bathrooms.",2975.9999999999995
14,21312250180000,202,100,2976.0,70,0.0,1.0,1.0,1.0,3.0,2.0,5.0,0.0,0.0,1.0,3,0.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,900.0,2.0,2.0,0.0,26780,68780,1717949124,1,-87.5555636624634,41.7460332653915,460302.0,0,SF,122,1,0.0,0.0,0.0,2017,82,41,2,6,1,0.0,12.2,0,1.0,100,70100,"This property, sold on 06/28/2017, is a one-story houeshold located at 8210 S MUSKEGON AVE.It has a total of 5 rooms, 2 of which are bedrooms, and 1.0 of which are bathrooms.",2975.9999999999995
15,20043160140000,206,52,3125.0,72,0.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,2.0,1,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,2736.0,2.0,2.0,0.0,26560,189740,1504145050,255000,-87.6398892006008,41.8132801067332,610800.0,0,SF,132,1,0.0,0.0,0.0,2015,73,37,1,2,1,1.0,13.2,1,1.0,52,7252,"This property, sold on 02/10/2015, is a three-story or higher houeshold located at 539 W 44TH PL.It has a total of 6 rooms, 3 of which are bedrooms, and 2.0 of which are bathrooms.",3125.0
16,3211150010000,204,40,10281.0,38,0.0,2.0,1.0,3.0,3.0,1.0,5.0,1.0,0.0,3.0,0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,3,0.0,2070.0,2.0,2.0,0.0,56540,307030,1734212056,380000,-87.9620589575048,42.1064946680816,802608.0,0,SF,48,1,0.0,0.0,0.0,2017,84,42,4,12,2,1.0,4.8,1,1.0,40,3840,"This property, sold on 12/08/2017, is a one-story houeshold located at 1703 E AVON LN.It has a total of 8 rooms, 4 of which are bedrooms, and 2.5 of which are bathrooms.",10281.000000000002
17,30174130650000,203,61,10640.0,37,0.0,2.0,1.0,1.0,3.0,1.0,5.0,0.0,1.0,3.0,0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,0.0,0.0,0.0,1,0.0,1527.0,2.0,2.0,0.0,31920,66100,1618101078,88000,-87.5289828759361,41.6030374777843,826100.0,0,SF,63,1,0.0,0.0,0.0,2016,78,39,2,6,1,1.0,6.3,1,1.0,61,3761,"This property, sold on 06/29/2016, is a one-story houeshold located at 131 DETROIT ST.It has a total of 7 rooms, 3 of which are bedrooms, and 1.5 of which are bathrooms.",10640.0
18,29114000430000,207,33,6000.0,37,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,3.0,0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,7.0,0.0,0.0,0.0,3,0.0,1970.0,2.0,2.0,0.0,19500,118200,1603346012,146000,-87.5874961139937,41.6157895666742,826303.0,0,SF,16,1,0.0,0.0,1.0,2016,77,39,1,2,1,1.0,1.6,1,1.0,33,3733,"This property, sold on 02/02/2016, is a two-story houeshold located at 15344 GREENWOOD RD.It has a total of 7 rooms, 3 of which are bedrooms, and 2.5 of which are bathrooms.",6000.0
19,29041180070000,203,24,5320.0,37,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,3.0,0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1089.0,2.0,2.0,0.0,18620,55330,1922745121,65000,-87.6314121828083,41.641895950011,826700.0,0,SF,59,1,0.0,0.0,0.0,2019,91,46,3,8,2,1.0,5.9,1,1.0,24,3724,"This property, sold on 08/15/2019, is a one-story houeshold located at 13925 S STEWART AVE.It has a total of 5 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",5320.000000000001
20,3323080010000,203,70,6500.0,38,0.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3,0.0,1680.0,2.0,2.0,0.0,35750,248390,1904416015,1,-87.9850969956473,42.0718112022929,803500.0,0,SF,94,1,0.0,0.0,0.0,2019,89,45,1,2,1,1.0,9.4,0,0.0,70,3870,"This property, sold on 02/13/2019, is a one-story with partially livable attics houeshold located at 701 S HIGHLAND AVE.It has a total of 6 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",6499.999999999999
21,25054060030000,203,282,3750.0,72,0.0,1.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,3.0,0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1358.0,2.0,2.0,0.0,24370,82990,1729845077,228000,-87.652728701048,41.7265269984403,730202.0,0,SF,87,1,0.0,0.0,0.0,2017,84,42,4,10,2,1.0,8.7,1,1.0,282,72282,"This property, sold on 10/25/2017, is a one-story houeshold located at 9207 S RACINE AVE.It has a total of 5 rooms, 3 of which are bedrooms, and 1.0 of which are bathrooms.",3750.000000000001
22,7211050060000,203,40,12633.0,35,0.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,0.0,1.0,3,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,3,0.0,1647.0,2.0,2.0,0.0,47370,196860,1430256071,350000,-88.1085056756358,42.0329159189714,804710.0,0,SF,41,1,0.0,0.0,0.0,2014,72,36,4,10,2,1.0,4.1,1,1.0,40,3540,"This property, sold on 10/29/2014, is a one-story houeshold located at 1125 AIMTREE PL.It has a total of 7 rooms, 3 of which are bedrooms, and 1.5 of which are bathrooms.",12632.999999999996
